Calendar year,State/territory,School sector,School level,Student-teacher ratio
2023,Western Australia,Catholic,Secondary,12.7
2023,Western Australia,Catholic,All,14.3
2023,Western Australia,Independent,Primary,13.6
2023,Western Australia,Independent,Secondary,10.9
2023,Western Australia,Independent,All,11.9
2023,Western Australia,All non-government,Primary,14.9
2023,Western Australia,All non-government,Secondary,11.7
2023,Western Australia,All non-government,All,13.0
2023,Western Australia,All,Primary,15.3
2023,Western Australia,All,Secondary,12.3
2023,Western Australia,All,All,13.8
2023,Tasmania,Government,Primary,13.3
2023,Tasmania,Government,Secondary,11.8
2023,Tasmania,Government,All,12.7
2023,Tasmania,Catholic,Primary,14.7
2023,Tasmania,Catholic,Secondary,11.2
2023,Tasmania,Catholic,All,12.7
2023,Tasmania,Independent,Primary,12.5
2023,Tasmania,Independent,Secondary,9.6
2023,Tasmania,Independent,All,10.7
2023,Tasmania,All non-government,Primary,13.7
2023,Tasmania,All non-government,Secondary,10.4
2023,Tasmania,All non-government,All,11.8
2023,Tasmania,All,Primary,13.4
2023,Tasmania,All,Secondary,11.3
2023,Tasmania,All,All,12.4
2023,Northern Territory,Government,Primary,11.8
2023,Northern Territory,Government,Secondary,11.4
2023,Northern Territory,Government,All,11.7
2023,Northern Territory,Catholic,Primary,12.6
2023,Northern Territory,Catholic,Secondary,10.1
2023,Northern Territory,Catholic,All,11.2
2023,Northern Territory,Independent,Primary,13.3
2023,Northern Territory,Independent,Secondary,10.3
2023,Northern Territory,Independent,All,11.5
2023,Northern Territory,All non-government,Primary,13.0
2023,Northern Territory,All non-government,Secondary,10.2
2023,Northern Territory,All non-government,All,11.4
2023,Northern Territory,All,Primary,12.0
2023,Northern Territory,All,Secondary,11.0
2023,Northern Territory,All,All,11.6
2023,Australian Capital Territory,Government,Primary,13.5
2023,Australian Capital Territory,Government,Secondary,12.8
2023,Australian Capital Territory,Government,All,13.2
2023,Australian Capital Territory,Catholic,Primary,16.4
2023,Australian Capital Territory,Catholic,Secondary,12.7
2023,Australian Capital Territory,Catholic,All,14.3
2023,Australian Capital Territory,Independent,Primary,15.3
2023,Australian Capital Territory,Independent,Secondary,11.6
2023,Australian Capital Territory,Independent,All,13.1
2023,Australian Capital Territory,All non-government,Primary,16.0
2023,Australian Capital Territory,All non-government,Secondary,12.2
2023,Australian Capital Territory,All non-government,All,13.8
2023,Australian Capital Territory,All,Primary,14.3
2023,Australian Capital Territory,All,Secondary,12.6
2023,Australian Capital Territory,All,All,13.4
2023,Australia,Government,Primary,14.2
2023,Australia,Government,Secondary,12.3
2023,Australia,Government,All,13.4
2023,Australia,Catholic,Primary,15.1
2023,Australia,Catholic,Secondary,12.0
2023,Australia,Catholic,All,13.4
2023,Australia,Independent,Primary,14.0
2023,Australia,Independent,Secondary,10.4
2023,Australia,Independent,All,11.8
2023,Australia,All non-government,Primary,14.6
2023,Australia,All non-government,Secondary,11.2
2023,Australia,All non-government,All,12.6
2023,Australia,All,Primary,14.3
2023,Australia,All,Secondary,11.8
2023,Australia,All,All,13.1
2022,New South Wales,Government,Primary,15.0
2022,New South Wales,Government,Secondary,13.0
2022,New South Wales,Government,All,14.2
2022,New South Wales,Catholic,Primary,15.8
2022,New South Wales,Catholic,Secondary,12.1
2022,New South Wales,Catholic,All,13.7
2022,New South Wales,Independent,Primary,14.1
2022,New South Wales,Independent,Secondary,10.0
2022,New South Wales,Independent,All,11.5
2022,New South Wales,All non-government,Primary,15.0
2022,New South Wales,All non-government,Secondary,11.1
2022,New South Wales,All non-government,All,12.7
2022,New South Wales,All,Primary,15.0
2022,New South Wales,All,Secondary,12.1
2022,New South Wales,All,All,13.6
2022,Victoria,Government,Primary,13.5
2022,Victoria,Government,Secondary,11.6
2022,Victoria,Government,All,12.6
2022,Victoria,Catholic,Primary,13.6
2022,Victoria,Catholic,Secondary,11.9
2022,Victoria,Catholic,All,12.7
2022,Victoria,Independent,Primary,12.7
2022,Victoria,Independent,Secondary,9.6
2022,Victoria,Independent,All,10.7
2022,Victoria,All non-government,Primary,13.2
2022,Victoria,All non-government,Secondary,10.7
2022,Victoria,All non-government,All,11.8
2022,Victoria,All,Primary,13.4
2022,Victoria,All,Secondary,11.2
2022,Victoria,All,All,12.3
2022,Queensland,Government,Primary,14.2
2022,Queensland,Government,Secondary,12.1
2022,Queensland,Government,All,13.2
2022,Queensland,Catholic,Primary,16.2
2022,Queensland,Catholic,Secondary,12.4
2022,Queensland,Catholic,All,14.1
2022,Queensland,Independent,Primary,15.5
2022,Queensland,Independent,Secondary,11.7
2022,Queensland,Independent,All,13.1
2022,Queensland,All non-government,Primary,15.9
2022,Queensland,All non-government,Secondary,12.1
2022,Queensland,All non-government,All,13.7
2022,Queensland,All,Primary,14.7
2022,Queensland,All,Secondary,12.1
2022,Queensland,All,All,13.4
2022,South Australia,Government,Primary,13.8
2022,South Australia,Government,Secondary,12.9
2022,South Australia,Government,All,13.4
2022,South Australia,Catholic,Primary,15.8
2022,South Australia,Catholic,Secondary,12.3
2022,South Australia,Catholic,All,14.0
2022,South Australia,Independent,Primary,14.5
2022,South Australia,Independent,Secondary,10.8
2022,South Australia,Independent,All,12.3
2022,South Australia,All non-government,Primary,15.1
2022,South Australia,All non-government,Secondary,11.4
2022,South Australia,All non-government,All,13.1
2022,South Australia,All,Primary,14.3
2022,South Australia,All,Secondary,12.2
2022,South Australia,All,All,13.3
2022,Western Australia,Government,Primary,15.3
2022,Western Australia,Government,Secondary,12.6
2022,Western Australia,Government,All,14.1
2022,Western Australia,Catholic,Primary,16.4
2022,Western Australia,Catholic,Secondary,12.7
2022,Western Australia,Catholic,All,14.3
2022,Western Australia,Independent,Primary,13.7
2022,Western Australia,Independent,Secondary,10.9
2022,Western Australia,Independent,All,11.9
2022,Western Australia,All non-government,Primary,15.0
2022,Western Australia,All non-government,Secondary,11.7
2022,Western Australia,All non-government,All,13.0
2022,Western Australia,All,Primary,15.3
2022,Western Australia,All,Secondary,12.2
2022,Western Australia,All,All,13.7
2022,Tasmania,Government,Primary,13.4
2022,Tasmania,Government,Secondary,12.0
2022,Tasmania,Government,All,12.7
2022,Tasmania,Catholic,Primary,14.8
2022,Tasmania,Catholic,Secondary,11.6
2022,Tasmania,Catholic,All,13.0
2022,Tasmania,Independent,Primary,12.3
2022,Tasmania,Independent,Secondary,9.4
2022,Tasmania,Independent,All,10.5
2022,Tasmania,All non-government,Primary,13.7
2022,Tasmania,All non-government,Secondary,10.5
2022,Tasmania,All non-government,All,11.9
2022,Tasmania,All,Primary,13.4
2022,Tasmania,All,Secondary,11.4
2022,Tasmania,All,All,12.4
2022,Northern Territory,Government,Primary,11.4
2022,Northern Territory,Government,Secondary,11.4
2022,Northern Territory,Government,All,11.4
2022,Northern Territory,Catholic,Primary,11.6
2022,Northern Territory,Catholic,Secondary,11.3
2022,Northern Territory,Catholic,All,11.5
2022,Northern Territory,Independent,Primary,13.3
2022,Northern Territory,Independent,Secondary,10.2
2022,Northern Territory,Independent,All,11.5
2022,Northern Territory,All non-government,Primary,12.5
2022,Northern Territory,All non-government,Secondary,10.6
2022,Northern Territory,All non-government,All,11.5
2022,Northern Territory,All,Primary,11.6
2022,Northern Territory,All,Secondary,11.1
2022,Northern Territory,All,All,11.4
2022,Australian Capital Territory,Government,Primary,13.6
2022,Australian Capital Territory,Government,Secondary,12.7
2022,Australian Capital Territory,Government,All,13.2
2022,Australian Capital Territory,Catholic,Primary,16.6
2022,Australian Capital Territory,Catholic,Secondary,12.5
2022,Australian Capital Territory,Catholic,All,14.3
2022,Australian Capital Territory,Independent,Primary,14.8
2022,Australian Capital Territory,Independent,Secondary,11.0
2022,Australian Capital Territory,Independent,All,12.6
2022,Australian Capital Territory,All non-government,Primary,15.9
2022,Australian Capital Territory,All non-government,Secondary,11.9
2022,Australian Capital Territory,All non-government,All,13.6
2022,Australian Capital Territory,All,Primary,14.3
2022,Australian Capital Territory,All,Secondary,12.3
2022,Australian Capital Territory,All,All,13.3
2022,Australia,Government,Primary,14.3
2022,Australia,Government,Secondary,12.3
2022,Australia,Government,All,13.4
2022,Australia,Catholic,Primary,15.2
2022,Australia,Catholic,Secondary,12.2
2022,Australia,Catholic,All,13.6
2022,Australia,Independent,Primary,14.0
2022,Australia,Independent,Secondary,10.4
2022,Australia,Independent,All,11.7
2022,Australia,All non-government,Primary,14.7
2022,Australia,All non-government,Secondary,11.2
2022,Australia,All non-government,All,12.7
2022,Australia,All,Primary,14.4
2022,Australia,All,Secondary,11.8
2022,Australia,All,All,13.1
2021,New South Wales,Government,Primary,15.2
2021,New South Wales,Government,Secondary,13.2
2021,New South Wales,Government,All,14.3
2021,New South Wales,Catholic,Primary,15.8
2021,New South Wales,Catholic,Secondary,12.1
2021,New South Wales,Catholic,All,13.7
2021,New South Wales,Independent,Primary,14.0
2021,New South Wales,Independent,Secondary,10.0
2021,New South Wales,Independent,All,11.6
2021,New South Wales,All non-government,Primary,15.0
2021,New South Wales,All non-government,Secondary,11.1
2021,New South Wales,All non-government,All,12.7
2021,New South Wales,All,Primary,15.1
2021,New South Wales,All,Secondary,12.2
2021,New South Wales,All,All,13.7
2021,Victoria,Government,Primary,13.5
2021,Victoria,Government,Secondary,11.8
2021,Victoria,Government,All,12.8
2021,Victoria,Catholic,Primary,13.7
2021,Victoria,Catholic,Secondary,12.0
2021,Victoria,Catholic,All,12.8
2021,Victoria,Independent,Primary,12.8
2021,Victoria,Independent,Secondary,9.7
2021,Victoria,Independent,All,10.7
2021,Victoria,All non-government,Primary,13.3
2021,Victoria,All non-government,Secondary,10.7
2021,Victoria,All non-government,All,11.8
2021,Victoria,All,Primary,13.5
2021,Victoria,All,Secondary,11.3
2021,Victoria,All,All,12.4
2021,Queensland,Government,Primary,14.4
2021,Queensland,Government,Secondary,12.1
2021,Queensland,Government,All,13.3
2021,Queensland,Catholic,Primary,16.4
2021,Queensland,Catholic,Secondary,12.5
2021,Queensland,Catholic,All,14.3
2021,Queensland,Independent,Primary,15.4
2021,Queensland,Independent,Secondary,11.7
2021,Queensland,Independent,All,13.1
2021,Queensland,All non-government,Primary,16.0
2021,Queensland,All non-government,Secondary,12.1
2021,Queensland,All non-government,All,13.7
2021,Queensland,All,Primary,14.9
2021,Queensland,All,Secondary,12.1
2021,Queensland,All,All,13.5
2021,South Australia,Government,Primary,14.5
2021,South Australia,Government,Secondary,12.1
2021,South Australia,Government,All,13.5
2021,South Australia,Catholic,Primary,16.0
2021,South Australia,Catholic,Secondary,12.4
2021,South Australia,Catholic,All,14.1
2021,South Australia,Independent,Primary,14.3
2021,South Australia,Independent,Secondary,11.2
2021,South Australia,Independent,All,12.5
2021,South Australia,All non-government,Primary,15.1
2021,South Australia,All non-government,Secondary,11.7
2021,South Australia,All non-government,All,13.3
2021,South Australia,All,Primary,14.7
2021,South Australia,All,Secondary,11.9
2021,South Australia,All,All,13.4
2021,Western Australia,Government,Primary,15.3
2021,Western Australia,Government,Secondary,12.6
2021,Western Australia,Government,All,14.1
2021,Western Australia,Catholic,Primary,16.6
2021,Western Australia,Catholic,Secondary,12.6
2021,Western Australia,Catholic,All,14.4
2021,Western Australia,Independent,Primary,13.9
2021,Western Australia,Independent,Secondary,10.9
2021,Western Australia,Independent,All,12.0
2021,Western Australia,All non-government,Primary,15.3
2021,Western Australia,All non-government,Secondary,11.6
2021,Western Australia,All non-government,All,13.1
2021,Western Australia,All,Primary,15.3
2021,Western Australia,All,Secondary,12.2
2021,Western Australia,All,All,13.8
2021,Tasmania,Government,Primary,13.7
2021,Tasmania,Government,Secondary,12.0
2021,Tasmania,Government,All,12.9
2021,Tasmania,Catholic,Primary,15.6
2021,Tasmania,Catholic,Secondary,11.7
2021,Tasmania,Catholic,All,13.4
2021,Tasmania,Independent,Primary,12.5
2021,Tasmania,Independent,Secondary,9.5
2021,Tasmania,Independent,All,10.7
2021,Tasmania,All non-government,Primary,14.3
2021,Tasmania,All non-government,Secondary,10.6
2021,Tasmania,All non-government,All,12.2
2021,Tasmania,All,Primary,13.9
2021,Tasmania,All,Secondary,11.5
2021,Tasmania,All,All,12.7
2021,Northern Territory,Government,Primary,11.8
2021,Northern Territory,Government,Secondary,11.9
2021,Northern Territory,Government,All,11.8
2021,Northern Territory,Catholic,Primary,13.4
2021,Northern Territory,Catholic,Secondary,10.8
2021,Northern Territory,Catholic,All,12.0
2021,Northern Territory,Independent,Primary,13.3
2021,Northern Territory,Independent,Secondary,10.8
2021,Northern Territory,Independent,All,11.9
2021,Northern Territory,All non-government,Primary,13.3
2021,Northern Territory,All non-government,Secondary,10.8
2021,Northern Territory,All non-government,All,11.9
2021,Northern Territory,All,Primary,12.1
2021,Northern Territory,All,Secondary,11.5
2021,Northern Territory,All,All,11.9
2021,Australian Capital Territory,Government,Primary,13.4
2021,Australian Capital Territory,Government,Secondary,13.3
2021,Australian Capital Territory,Government,All,13.3
2021,Australian Capital Territory,Catholic,Primary,17.1
2021,Australian Capital Territory,Catholic,Secondary,12.5
2021,Australian Capital Territory,Catholic,All,14.5
2021,Australian Capital Territory,Independent,Primary,14.4
2021,Australian Capital Territory,Independent,Secondary,11.0
2021,Australian Capital Territory,Independent,All,12.5
2021,Australian Capital Territory,All non-government,Primary,16.0
2021,Australian Capital Territory,All non-government,Secondary,11.9
2021,Australian Capital Territory,All non-government,All,13.7
2021,Australian Capital Territory,All,Primary,14.2
2021,Australian Capital Territory,All,Secondary,12.6
2021,Australian Capital Territory,All,All,13.5
2021,Australia,Government,Primary,14.4
2021,Australia,Government,Secondary,12.4
2021,Australia,Government,All,13.6
2021,Australia,Catholic,Primary,15.4
2021,Australia,Catholic,Secondary,12.2
2021,Australia,Catholic,All,13.6
2021,Australia,Independent,Primary,14.0
2021,Australia,Independent,Secondary,10.5
2021,Australia,Independent,All,11.8
2021,Australia,All non-government,Primary,14.8
2021,Australia,All non-government,Secondary,11.3
2021,Australia,All non-government,All,12.8
2021,Australia,All,Primary,14.5
2021,Australia,All,Secondary,11.9
2021,Australia,All,All,13.3
2020,New South Wales,Government,Primary,16.0
2020,New South Wales,Government,Secondary,13.4
2020,New South Wales,Government,All,14.9
2020,New South Wales,Catholic,Primary,16.1
2020,New South Wales,Catholic,Secondary,12.2
2020,New South Wales,Catholic,All,13.9
2020,New South Wales,Independent,Primary,14.1
2020,New South Wales,Independent,Secondary,10.0
2020,New South Wales,Independent,All,11.5
2020,New South Wales,All non-government,Primary,15.2
2020,New South Wales,All non-government,Secondary,11.1
2020,New South Wales,All non-government,All,12.8
2020,New South Wales,All,Primary,15.8
2020,New South Wales,All,Secondary,12.4
2020,New South Wales,All,All,14.1
2020,Victoria,Government,Primary,14.1
2020,Victoria,Government,Secondary,12.2
2020,Victoria,Government,All,13.3
2020,Victoria,Catholic,Primary,14.0
2020,Victoria,Catholic,Secondary,12.0
2020,Victoria,Catholic,All,13.0
2020,Victoria,Independent,Primary,12.7
2020,Victoria,Independent,Secondary,9.7
2020,Victoria,Independent,All,10.8
2020,Victoria,All non-government,Primary,13.5
2020,Victoria,All non-government,Secondary,10.8
2020,Victoria,All non-government,All,12.0
2020,Victoria,All,Primary,13.9
2020,Victoria,All,Secondary,11.5
2020,Victoria,All,All,12.8
2020,Queensland,Government,Primary,14.3
2020,Queensland,Government,Secondary,12.1
2020,Queensland,Government,All,13.4
2020,Queensland,Catholic,Primary,16.3
2020,Queensland,Catholic,Secondary,12.3
2020,Queensland,Catholic,All,14.1
2020,Queensland,Independent,Primary,15.5
2020,Queensland,Independent,Secondary,11.9
2020,Queensland,Independent,All,13.3
2020,Queensland,All non-government,Primary,15.9
2020,Queensland,All non-government,Secondary,12.1
2020,Queensland,All non-government,All,13.7
2020,Queensland,All,Primary,14.8
2020,Queensland,All,Secondary,12.1
2020,Queensland,All,All,13.5
2020,South Australia,Government,Primary,14.5
2020,South Australia,Government,Secondary,12.5
2020,South Australia,Government,All,13.7
2020,South Australia,Catholic,Primary,16.0
2020,South Australia,Catholic,Secondary,12.7
2020,South Australia,Catholic,All,14.3
2020,South Australia,Independent,Primary,13.9
2020,South Australia,Independent,Secondary,11.5
2020,South Australia,Independent,All,12.6
2020,South Australia,All non-government,Primary,14.9
2020,South Australia,All non-government,Secondary,12.1
2020,South Australia,All non-government,All,13.3
2020,South Australia,All,Primary,14.6
2020,South Australia,All,Secondary,12.3
2020,South Australia,All,All,13.6
2020,Western Australia,Government,Primary,15.6
2020,Western Australia,Government,Secondary,12.8
2020,Western Australia,Government,All,14.4
2020,Western Australia,Catholic,Primary,16.5
2020,Western Australia,Catholic,Secondary,12.6
2020,Western Australia,Catholic,All,14.3
2020,Western Australia,Independent,Primary,13.8
2020,Western Australia,Independent,Secondary,11.0
2020,Western Australia,Independent,All,12.0
2020,Western Australia,All non-government,Primary,15.2
2020,Western Australia,All non-government,Secondary,11.7
2020,Western Australia,All non-government,All,13.1
2020,Western Australia,All,Primary,15.5
2020,Western Australia,All,Secondary,12.3
2020,Western Australia,All,All,14.0
2020,Tasmania,Government,Primary,13.9
2020,Tasmania,Government,Secondary,12.5
2020,Tasmania,Government,All,13.3
2020,Tasmania,Catholic,Primary,15.4
2020,Tasmania,Catholic,Secondary,12.1
2020,Tasmania,Catholic,All,13.6
2020,Tasmania,Independent,Primary,12.8
2020,Tasmania,Independent,Secondary,9.5
2020,Tasmania,Independent,All,10.8
2020,Tasmania,All non-government,Primary,14.3
2020,Tasmania,All non-government,Secondary,10.8
2020,Tasmania,All non-government,All,12.3
2020,Tasmania,All,Primary,14.1
2020,Tasmania,All,Secondary,11.9
2020,Tasmania,All,All,13.0
2020,Northern Territory,Government,Primary,11.8
2020,Northern Territory,Government,Secondary,11.8
2020,Northern Territory,Government,All,11.8
2020,Northern Territory,Catholic,Primary,12.9
2020,Northern Territory,Catholic,Secondary,10.6
2020,Northern Territory,Catholic,All,11.6
2020,Northern Territory,Independent,Primary,13.7
2020,Northern Territory,Independent,Secondary,10.5
2020,Northern Territory,Independent,All,11.8
2020,Northern Territory,All non-government,Primary,13.3
2020,Northern Territory,All non-government,Secondary,10.5
2020,Northern Territory,All non-government,All,11.7
2020,Northern Territory,All,Primary,12.1
2020,Northern Territory,All,Secondary,11.4
2020,Northern Territory,All,All,11.8
2020,Australian Capital Territory,Government,Primary,13.9
2020,Australian Capital Territory,Government,Secondary,12.4
2020,Australian Capital Territory,Government,All,13.3
2020,Australian Capital Territory,Catholic,Primary,17.1
2020,Australian Capital Territory,Catholic,Secondary,12.7
2020,Australian Capital Territory,Catholic,All,14.6
2020,Australian Capital Territory,Independent,Primary,14.1
2020,Australian Capital Territory,Independent,Secondary,10.7
2020,Australian Capital Territory,Independent,All,12.2
2020,Australian Capital Territory,All non-government,Primary,15.9
2020,Australian Capital Territory,All non-government,Secondary,11.9
2020,Australian Capital Territory,All non-government,All,13.6
2020,Australian Capital Territory,All,Primary,14.5
2020,Australian Capital Territory,All,Secondary,12.2
2020,Australian Capital Territory,All,All,13.4
2020,Australia,Government,Primary,14.8
2020,Australia,Government,Secondary,12.6
2020,Australia,Government,All,13.9
2020,Australia,Catholic,Primary,15.5
2020,Australia,Catholic,Secondary,12.2
2020,Australia,Catholic,All,13.7
2020,Australia,Independent,Primary,13.9
2020,Australia,Independent,Secondary,10.5
2020,Australia,Independent,All,11.8
2020,Australia,All non-government,Primary,14.8
2020,Australia,All non-government,Secondary,11.4
2020,Australia,All non-government,All,12.8
2020,Australia,All,Primary,14.8
2020,Australia,All,Secondary,12.1
2020,Australia,All,All,13.5
2019,New South Wales,Government,Primary,16.8
2019,New South Wales,Government,Secondary,13.9
2019,New South Wales,Government,All,15.6
2019,New South Wales,Catholic,Primary,16.6
2019,New South Wales,Catholic,Secondary,12.3
2019,New South Wales,Catholic,All,14.2
